longitude,latitude,Cena,Izby,Druh,Plocha,distance_from_centre
18.6051464,48.2039771,115900,3,3 izbový byt,78,110.8
17.884183,48.148724,88000,3,3 izbový byt,65,57.2
18.1640649,47.9860672,125000,3,3 izbový byt,65,80
18.6011482,48.2192923,89900,3,3 izbový byt,68,110.6
18.3027965,48.2441899,110000,2,2 izbový byt,56,88.8
18.086038,48.3128725,144000,3,3 izbový byt,74,74.4
18.1086175,48.3253958,135000,1,1 izbový byt,44,76.4
18.1640649,47.9860672,125000,3,3 izbový byt,84,80
18.1640649,47.9860672,124000,3,3 izbový byt,77,80
18.0510337,48.3041149,130000,2,2 izbový byt,68,71.7
18.063877,48.2966222,144000,3,3 izbový byt,78,72.4
18.5965063,48.2118694,101000,3,3 izbový byt,72,110.2
18.086038,48.3128725,162000,3,3 izbový byt,77,74.4
18.1640649,47.9860672,99900,3,3 izbový byt,65,80
18.6031332,48.2071768,93900,2,2 izbový byt,67,110.7
18.0912919,48.3039415,162000,3,3 izbový byt,57,74.6
18.086038,48.3128725,162900,2,2 izbový byt,53,74.4
18.3764255,48.28714802,101500,3,3 izbový byt,79,94.9
18.6545663,48.0470922,77900,3,3 izbový byt,65,114.9
18.0516667,47.8513889,59990,1,1 izbový byt,35,77.1
18.1332096,47.7624296,124990,3,3 izbový byt,72,87
18.1266086,47.7678866,72900,2,2 izbový byt,53,86.3
18.1284782,47.7624889,71000,3,3 izbový byt,63,86.7
18.1115061,47.7680755,56900,2,2 izbový byt,57,85.3
18.0516667,47.8513889,133000,3,3 izbový byt,81,77.1
18.1332096,47.7624296,89990,3,3 izbový byt,57,87
18.0516667,47.8513889,130000,3,3 izbový byt,84,77.1
18.0516667,47.8513889,129990,3,3 izbový byt,74,77.1
18.1266086,47.7678866,67900,2,2 izbový byt,52,86.3
18.0516667,47.8513889,50990,1,1 izbový byt,31,77.1
18.1095868,47.7682657,64900,3,3 izbový byt,52,85.2
18.0516667,47.8513889,72000,2,2 izbový byt,66,77.1
18.1284782,47.7624889,76900,2,2 izbový byt,55,86.7
18.1332096,47.7624296,88990,3,3 izbový byt,66,87
18.1270672,47.7559524,94000,3,3 izbový byt,85,87
18.0738254,48.312252,141500,2,2 izbový byt,51,73.5
18.171697,48.5584441,82000,2,2 izbový byt,53,90.7
18.086038,48.3128725,240000,4,4 izbový byt,88,74.4
18.0930435,48.2955013,140000,2,2 izbový byt,62,74.5
18.0486844,48.3042873,147000,3,3 izbový byt,78,71.5
18.086038,48.3128725,179000,2,2 izbový byt,55,74.4
18.0527258,48.3039321,98000,1,1 izbový byt,40,71.8
18.086038,48.3128725,119000,2,2 izbový byt,54,74.4
18.1747002,48.5572449,130000,2,2 izbový byt,51,90.8
17.884183,48.148724,99900,3,3 izbový byt,66,57.2
18.1684247,47.9805569,125000,3,3 izbový byt,82,80.5
18.1547116,47.9813601,109500,3,3 izbový byt,78,79.5
18.164236,47.9801333,126000,3,3 izbový byt,68,80.2
18.15624345,47.98731495,83275.5,2,2 izbový byt,45,79.4
18.08328152,48.30900279,198900,2,2 izbový byt,53,74.1
18.0905246,48.3105082,159000,3,3 izbový byt,54,74.7
18.08174729,48.31351247,144000,3,3 izbový byt,63,74.1
18.07798147,48.31018734,162000,2,2 izbový byt,52,73.8
18.06137116,48.29867741,138000,38,3 izbový byt,72,72.3
18.0930278,48.3078698,165000,3,3 izbový byt,71,74.8
18.05528998,48.30071022,129000,3,3 izbový byt,82,71.9
18.086038,48.3128725,122000,2,2 izbový byt,60,74.4
18.1640649,47.9860672,123000,4,4 izbový byt,80,80
18.30917147,48.24293062,84500,2,2 izbový byt,49,89.3
18.1752861,47.9925935,112000,2,2 izbový byt,68,80.7
18.0740053,48.2972551,133000,2,2 izbový byt,54,73.2
18.6245889,48.2157181,98000,3,3 izbový byt,76,112.3
18.6051464,48.2039771,100000,3,3 izbový byt,76,110.8
18.6061041,48.2104516,75000,2,2 izbový byt,67,110.9
18.5978004,48.2161928,98000,3,3 izbový byt,69,110.3
18.6103948,48.2081044,92000,2,2 izbový byt,68,111.2
18.5978004,48.2161928,74000,1,1 izbový byt,35,110.3
18.6071263,48.2033936,64000,1,1 izbový byt,36,110.9
18.5965063,48.2118694,80900,2,2 izbový byt,61,110.2
18.6011482,48.2192923,65000,1,1 izbový byt,35,110.6
18.604346,48.2136713,98000,3,3 izbový byt,74,110.8
18.6061041,48.2104516,98000,2,2 izbový byt,66,110.9
18.612751,48.2037717,63000,1,1 izbový byt,36,111.3
18.612751,48.2037717,83000,2,2 izbový byt,67,111.3
18.6051464,48.2039771,54000,1,1 izbový byt,36,110.8
18.6011482,48.2192923,68000,1,1 izbový byt,34,110.6
18.5965063,48.2118694,88000,3,3 izbový byt,68,110.2
18.6011482,48.2192923,117000,3,3 izbový byt,82,110.6
18.6011482,48.2192923,63000,1,1 izbový byt,35,110.6
18.6075745,48.2046583,116000,3,3 izbový byt,82,111
18.617683,48.2189007,88000,3,3 izbový byt,77,111.8
18.6051464,48.2039771,98000,3,3 izbový byt,76,110.8
18.6011482,48.2192923,81000,2,2 izbový byt,67,110.6
18.6075745,48.2046583,123000,3,3 izbový byt,87,111
18.6237165,48.215106,138000,4,4 izbový byt,92,112.2
17.9836547,47.9260419,127000,3,3 izbový byt,97,69.1
18.0019003,47.9158014,118500,3,3 izbový byt,68,70.8
18.1777162,48.5547647,105000,3,3 izbový byt,76,90.9
18.6075745,48.2046583,59000,1,1 izbový byt,36,111
18.5978004,48.2161928,93000,2,2 izbový byt,76,110.3
18.0453021,48.3103286,122000,2,2 izbový byt,63,71.4
18.0967812,48.3098012,173000,4,4 izbový byt,82,75.1
18.0873,48.31486,162000,2,2 izbový byt,55,74.6
18.0967812,48.3098012,245000,3,4 izbový byt,120,75.1
18.0548204,48.313606,113000,1,1 izbový byt,38,72.2
18.1197376,48.3040652,249600,3,3 izbový byt,78,76.6
18.6011482,48.2192923,108000,3,3 izbový byt,74,110.6
18.6011482,48.2192923,89000,2,2 izbový byt,67,110.6
18.6011482,48.2192923,89000,2,2 izbový byt,67,110.6
18.7126769,47.792547,104000,4,4 izbový byt,83,125.3
18.7126769,47.792547,87990,2,2 izbový byt,63,125.3
18.086038,48.3128725,175000,4,4 izbový byt,86,74.4
18.1137724,48.3063865,173000,4,4 izbový byt,86,76.2
18.086038,48.3128725,240000,4,4 izbový byt,101,74.4
18.0773656,48.3100956,161900,2,2 izbový byt,55,73.7
18.0737317,48.294028,138500,3,3 izbový byt,68,73.1
18.0510337,48.3041149,180200,3,3 izbový byt,78,71.7
18.0652372,48.3064073,140000,2,2 izbový byt,56,72.8
18.0912919,48.3039415,159000,2,2 izbový byt,57,74.6
18.3823609,48.3855358,121000,4,4 izbový byt,89,97.7
18.0510337,48.3041149,87000,1,1 izbový byt,32,71.7
18.0510337,48.3041149,112500,2,2 izbový byt,47,71.7
18.0510337,48.3041149,129400,2,2 izbový byt,54,71.7
17.8712279,47.8089087,51500,3,3 izbový byt,73,67.7
18.0976378,48.3127719,143000,3,3 izbový byt,71,75.3
18.1105714,48.3137191,162000,3,3 izbový byt,85,76.2
18.063877,48.2966222,143600,3,3 izbový byt,79,72.4
18.1779576,48.5545602,115000,3,3 izbový byt,82,90.9
18.086038,48.3128725,143600,3,3 izbový byt,79,74.4
18.076376,48.3061414,179900,3,3 izbový byt,76,73.6
18.0684997,48.2965398,129600,3,3 izbový byt,76,72.7
18.1571098,47.9881643,98990,3,3 izbový byt,66,79.5
18.076376,48.3061414,166500,3,3 izbový byt,75,73.6
18.086038,48.3128725,165000,3,3 izbový byt,79,74.4
18.1571098,47.9881643,98000,2,2 izbový byt,57,79.5
18.3556977,48.416952,102900,4,4 izbový byt,79,96.8
18.0653544,48.3049644,145490,4,4 izbový byt,95,72.7
18.0807019,48.3130732,103600,2,2 izbový byt,51,74.1
18.0932864,48.314884,157990,3,3 izbový byt,74,75
18.086038,48.3128725,156900,2,2 izbový byt,69,74.4
18.076376,48.3061414,129990,3,3 izbový byt,73,73.6
18.076376,48.3061414,131600,3,3 izbový byt,73,73.6
18.076376,48.3061414,124000,3,3 izbový byt,61,73.6
18.076376,48.3061414,118000,3,3 izbový byt,79,73.6
18.076376,48.3061414,139990,3,3 izbový byt,74,73.6
18.0652372,48.3064073,159000,4,4 izbový byt,86,72.8
18.0873,48.31486,183900,3,3 izbový byt,76,74.6
18.0656408,48.2959497,175990,3,3 izbový byt,62,72.5
18.086038,48.3128725,138600,2,2 izbový byt,61,74.4
18.086038,48.3128725,149800,2,2 izbový byt,57,74.4
18.086038,48.3128725,98900,1,1 izbový byt,42,74.4
18.076376,48.3061414,216900,2,2 izbový byt,100,73.6
18.076376,48.3061414,178990,3,3 izbový byt,75,73.6
18.1338882,47.7656994,103000,3,3 izbový byt,74,86.9
18.12693071,47.7570048,112000,3,3 izbový byt,80,86.9
18.1728378,47.9842785,125000,3,3 izbový byt,82,80.7
